ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Mondavio,,,Mondavio,0.029806449,3396.540984,2046.536986,0.024850388,5437.4,2012.040984,0.041685533,2634.305882,2039.076712,0.037415329,3546.293333,2004.526027,Marche,Pesaro e Urbino,Centro
Mondolfo,,,Mondolfo,0.042404799,8891.865455,6485.115068,0.030133896,3591.653061,6504.303279,0.054611362,4920.267045,6445.545205,0.052992744,4669.473846,6132.915068,Marche,Pesaro e Urbino,Centro
Monteciccardo,,,Monteciccardo,0,0,0,0,0,0,0.038918415,2164.8125,822.2328767,0.037057342,8211.933333,809.5561644,Marche,Pesaro e Urbino,Centro
Montecopiolo,,,Montecopiolo,0.032373654,1859.2,617.7863014,0.020356735,3168.307692,638.6092896,0.034296013,25372.59091,641.4739726,0.025748083,2161.8125,621.4054795,Marche,Pesaro e Urbino,Centro
Montefelcino,,,Montefelcino,0.03672671,3517.440678,1606.460274,0.022342257,16727.31429,1566.538251,0.033699331,2921.490566,1572.731507,0.041969098,2423.671875,1524.931507,Marche,Pesaro e Urbino,Centro
Monte Grimano Terme,,,Monte Grimano Terme,0.053577575,4983.37931,541.2712329,0.034695059,4019.578947,547.6284153,0.040282125,1646.636364,546.1479452,0.038675605,7858.473684,491.2657534,Marche,Pesaro e Urbino,Centro
Montelabbate,,,Montelabbate,0.049041471,4037.609467,3446.063014,0.034688398,3890.286957,3315.229508,0.04988473,3609.54491,3347.717808,0.053164017,2320.545977,3272.890411,Marche,Pesaro e Urbino,Centro
Monte Porzio,,,Monte Porzio,0.035751924,8044.333333,1510.408219,0.028200965,4507.186047,1524.770492,0.048859586,2398.933333,1535.010959,0.049382007,9666.383562,1478.271233,Marche,Pesaro e Urbino,Centro
Orciano di Pesaro,Orciano di Pesaro,,Terre Roveresche,0.035791332,3529.632075,2961.610959,0.025526104,2600.236842,2977.344262,0.038527069,3503.619469,2933.00274,0.031454701,2293.808989,2829.465753,Marche,Pesaro e Urbino,Centro
Peglio,,,Peglio,0.032042138,2264.1875,499.3424658,0.02574341,9441.384615,504.9836066,0.060349885,1810.290323,513.6712329,0.033850834,1302.533333,443.1205479,Lombardia,Como,Nord-ovest
